mediaeval medieval
contravene breach
cancel abolish
cancelled abolish
deletion abolition
exciting thrilling
timeline timeframe
babies babes
ask asked
projected forecasted
compulsion duress
organisers organizer
organiser organizer
organisers organizers
terrific splendid
subservient servile
gaps shortcomings
lousiest worst
detect detecting
increase rose
increasing rise
increased rise
increase rising
increasing rose
increased rose
increase rise
increased rising
cheating swindling
edmund edmond
ladies mesdames
collaborate work
collaborate works
daybreak dawn
sallah salah
aliens foreigners
prominent conspicuous
negotiating negotiate
objective goal
specific concrete
pants panties
patently blatantly
massoud masood
honored honoured
luckily happily
declares proclaims
results outcome
resulted outcome
result outcome
greatly markedly
gunfight shootout
demons fiends
bizarrely strangely
untrue false
recollection remembrance
precarious perilous
aware cognizant
cows cattle
marvellous splendid
use used
pernicious harmful
recover retrieve
quickly quick
recorded records
indignation exasperation
astounded amazed
hikes rise
hikes rises
responses response
mongolian mongol
mongolian mongols
cannabis marijuana
investigations inquiry
investigations inquiries
investigation inquiry
investigation inquiries
frequency frequencies
synchronization synchronisation
organizer organisers
organizer organiser
organizers organisers
miss missed
investigates investigating
solemnly ceremoniously
unbiased unprejudiced
however nevertheless
photo photos
thousands thousand
quiet tranquil
authorised approved
downsizing reduction
reinaldo reynaldo
allayed dissipated
perfidious treacherous
pardon amnesty
grandfather granddad
mushrooms fungi
happily willingly
unsolved outstanding
forage foraging
guided guide
grams g
braking brake
mohammad muhammad
combat fight
graduated graduate
graduated graduates
reactivated reactivate
disastrous ruinous
surrender capitulation
insurgency revolt
trustworthy dependable
surplus excess
conspicuous obvious
iniquitous unfair
correct correcting
promotion advancement
enables allows
dispatching dispatch
odors smells
huge gigantic
reduce lessen
reduced lessen
reducing lessen
disables disable
sealer sealant
topic theme
hussain hussein
rises hikes
rise hikes
mobilise mobilize
babes babies
supposition hypothesis
accountability responsibilities
accountability responsibility
scenario screenplay
investigate examine
crimes offenses
janitor doorman
wonderful remarkable
boys boy
aggressively actively
networking network
analysis analyses
analysis analyse
analysis analysed
preparing bracing
offices bureaus
joking joke
fungi mushrooms
stresses underlines
cashier teller
elimination eliminate
elimination eliminating
cm centimeters
desertion defection
misguided wrong
dissipated resolved
variation variant
dwellings homes
quicker faster
adrenaline epinephrine
quick swift
overblown exaggerated
hides conceals
moldova moldavia
astounded amazed
revitalizing revitalize
hidden concealed
burial funeral
definition definitions
blockading blockade
wrongs false
expenditures spending
expenditure spending
eloped fled
growing burgeoning
inflammable combustible
simplify streamline
inviolable untouchable
reject repudiate
hiring hire
endeavored attempted
home household
describe describes
rapid swift
rubbles ruins
accused indicted
merged combined
muller mueller
ploy stratagem
opulence affluence
harlots whores
steady steadily
submerged flooded
collaborate collaboration
applicants seekers
consolation solace
resist resisting
absolve exonerate
hearings auditions
solved resolved
furnaces boilers
counterfeiting counterfeit
embattled beleaguered
introduce introducing
regenerating regeneration
tribulations hardships
captive captives
beleaguered embattled
computing compute
captives captive
impure unclean
impractical impossible
vortex maelstrom
terence terrence
restoring restore
ceiling capped
homes fireplaces
hurdles obstacles
jakob jacob
definitive final
customer client
fight combat
verifies checks
exercises workouts
recommence restart
boilers furnaces
counsellor advisor
prominent salient
crucial critical
aboriginal indigenous
pacifying calming
continually incessantly
reducing reduction
establishment formation
maasai masai
travel traveling
quick speedy
bangles bracelets
commit perpetrate
canal channel
critical crucial
resolution resolutions
escalate escalates
impeded hobbled
ovens furnaces
dissipate disappear
incredible unbelievable
reopen reopening
stalemate impasse
riven divided
exchanges shares
unequivocally unmistakably
loath reluctant
enriching enrich
contacting contact
attentive careful
serving serve
weapons armed
tranquil quiet
excellently magnificently
careless negligent
assigned assign
kilograms kilo
headlamps floodlights
deferment deferral
ruse trick
exceedingly enormously
true truthful
implicating involving
fully completely
sadly regretfully
armament arms
nicest best
launches starts
launches start
calming appeasing
endorses endorse
confectionary confectionery
presently currently
delete eliminate
significant remarkable
diseases maladies
impede inhibit
displays shows
testimonies certificates
audits audit
mom mum
blatantly patently
various varied
propitious auspicious
great fantastic
carnage slaughter
household home
orbital orbiting
omen portent
gained risen
specific particular
seekers applicants
excess surplus
banning prohibiting
synchronization synchronize
view viewing
views viewing
headsets earphones
respite reprieve
politeness civility
presentations introductions
marches rallies
withdrawal withdrawing
indefinite indeterminate
cookies biscuits
sharply steeply
artur arthur
broaden widen
dormant inactive
challengers competitors
mathematics math
achieve achieving
horrific awful
cautious wary
steps measures
withdrawal withdraw
withdrawals withdraw
recover retrieve
noon midday
convincing compelling
apps applications
supports brackets
redouble intensify
underlines stresses
recommended recommend
tracey tracy
inexorable implacable
primitive primeval
forbidden proscribed
compulsory obligatory
invaluable precious
sera serum
extraordinary tremendous
communication communicating
administer administering
nuclei cores
zeal fervor
variance discrepancy
bids bidding
bid bidding
excited enthusiastic
famed renowned
camouflage disguise
suffers suffer
purged cleansed
unwarranted groundless
expel evict
fruitful fertile
grow growth
gigantic mammoth
perplexed confused
proper appropriate
redirecting redirect
specific concrete
implacable inexorable
tale story
faulty defective
grades levels
ascent ascension
replicate emulate
stains spots
death deaths
overpowering defeating
approved authorised
rise climbs
rises climbs
engage engaging
biscuits cookies
noble lofty
coffin casket
marijuana cannabis
juveniles minors
shrill strident
politeness courtesy
ruthlessness cruelty
concurrently simultaneously
epoch era
billions trillion
phases stages
phase stages
billion trillion
phases stage
phase stage
portent omen
destined bound
dispute conflict
testimonial testimony
illuminated lighted
surprise astonishment
toppling overthrow
hurry rush
agricultural agrarian
felons criminals
coolly calmly
totally completely
resident residents
traditional classical
spectators viewers
japanese japan
gentlemen gentleman
harsher stiffer
sequence sequenced
numerals numbers
confrontation showdown
resuming resume
resuming resumes
helpful useful
annulled cancelled
thoughts ideas
upheaval turbulence
checks verify
check verifies
check verify
checks verifies
check verified
checks verified
maelstrom vortex
topography terrain
objective goal
emphasizes underlines
remarkably amazingly
tilting tilt
obligation commitment
individually singly
bleak grim
mankind humanity
canal channel
chair chaired
remarkably astonishingly
pamphlet brochure
formulating formulation
hurdle barrier
vanguard forefront
reputation repute
mature ripe
puzzling baffling
smart intelligent
smarts intelligent
cancel invalidate
cleansed purged
crocker croker
safeguarding preserving
risk hazard
tangible concrete
submerged flooded
vibrant lively
immensely exceedingly
unclear vague
grim bleak
channelling channel
totally completely
awesome great
observe observing
invoices billed
invoice billed
utilised used
hated loathed
splendid superb
coalmine colliery
archaic antiquated
prevent impede
isolated isolate
describes describe
basis foundations
enlarging enlargement
saucepans pots
false wrongs
advises advise
trickery deception
aunt auntie
compile compilation
quest search
borrow borrowing
chrome chromium
classified classify
comfort consolation
strenuously energetically
introducing introduce
supersedes replaces
terrific awesome
chances luck
scarce rare
deadlocked stalled
sustained persistent
commend lauded
commended lauded
hardest trickiest
unpacking unpack
except excepting
capacitor condenser
capacitors condensers
elaborately meticulously
ownership possession
compiling compile
subway metro
fissures crevices
company corporation
prepared poised
unsuited inappropriate
considerable sizeable
evacuated evacuate
folly madness
weapons arms
moslems muslims
panels groups
examination review
examination reviews
examination reviewing
bite bit
level tier
evaluations appraisals
storing store
strongly forcefully
raise increase
refund repayment
enables enable
cesarean caesarean
timetable timeline
verification verifying
stiffer harsher
runners racers
carpets rugs
alerting alerts
alerting alert
audacious adventurous
travels voyage
travels voyages
presented submitted
creative inventive
jettisoned dumped
veranda porch
criticize criticizes
startled surprised
gigantic massive
striking startling
resides reside
tiago thiago
nutritive nutritious
warn warns
solano solana
restricted restrained
minutiae details
redesign redesigning
revision revise
stabilizing stabilize
chasing chase
alternative option
alternatives option
formulating formulate
ok okay
wrongfully mistakenly
misiones missions
organizing organise
unquestioning unconditional
savage brutal
confused muddled
pervasive prevalent
drops dips
insane mad
reluctant loath
ruptures breaks
limits ceilings
grander bigger
fail fails
prohibit prohibited
vanquishing defeating
epinephrine adrenaline
secretly surreptitiously
hearing auditions
hearings auditions
distortion deformation
cross crossed
spacecraft spaceship
syncing synchronisation
labour labor
lessened diminished
doubtless doubtlessly
offenses crimes
dips drops
feeble weak
upload download
expedite expedited
tuberculosis tb
disagreement discrepancy
many several
confectionery confectionary
cadavers corpses
idiots morons
yourself yourselves
realization attainment
invites inviting
invite inviting
critical important
affluence opulence
indicted charged
schedule timetable
clandestine covert
trash rubbish
disturbed worried
response replied
response reply
tube pipe
brochure pamphlet
throttle accelerator
unusable useless
liquid liquefied
insightful perceptive
understands understand
features traits
aggressors attackers
continuity continuance
loathes hated
loathes hate
loathes hates
predicts predict
sporadic occasional
inadequate insufficient
explicitly expressly
minors juveniles
tycoon mogul
scaling scale
extracted extracts
extracted extract
punching punch
careful prudent
scrumptious delicious
limits curbs
smell odor
smells odor
perils hazards
fervor zeal
expanding enlarging
courageous valiant
licensing license
licensing licenses
confidential secret
furnaces ovens
regulations regulatory
deleting deletion
incorrectly wrongfully
analysing analyzing
chairwoman chairman
chairwoman chairmen
agitating stirring
sunblock sunscreen
anemia anaemia
arrives arrive
possibilities possibility
restrict curb
governments councils
deformation distortion
carnaval carnival
mobilize mobilise
finally lastly
wolf wolves
adaptations adjustments
sinking sink
bare naked
organize arrange
immutable fixed
resolving dissipating
exceeds exceed
illustrious famous
demanding demand
understand comprehend
prepare prepares
regulate regulating
grateful appreciative
entirety totality
paradise heaven
rudolf rudolph
essentially chiefly
disabilities handicaps
hated loathe
madams ladies
destroy obliterate
awesome terrific
delete eliminate
minors juveniles
proprietor holders
eduard edward
condensers capacitors
splendid terrific
upload download
exchanging exchanges
exchanging exchange
indicted accused
gone disappeared
terminates ends
worldwide globally
remiss negligent
hapless unfortunate
concessions grants
minuscule tiny
submits presents
exercises drills
cribbing crib
sustaining sustain
photograph photo
unfavourable negative
engage engaging
discontinued interrupted
contacting contact
contacting contacts
exceed exceeding
stages phases
stages phase
stage phases
faruk farouk
stage phase
perceptive insightful
beginning commencement
warns warn
defective faulty
insinuated hinted
unmatched unequaled
copters helicopters
tunes melodies
auspicious propitious
interrupted discontinued
proclaims declares
rejected spurned
illnesses maladies
advisers councillors
fantastic amazing
reducing reduction
madness folly
prepared poised
ideas thoughts
presenting present
concrete practical
fury rage
forecasted projected
pharmacy drugstore
impoverished destitute
mohamed muhammad
retrograde backward
smells odours
clusters groups
decree edict
replaces supersedes
rationalizing streamlining
toilet bathroom
toilets bathroom
bikes bicycle
attract attracts
bikes bicycles
bike bicycles
bike bicycle
furnaces kilns
fiends demons
somber gloomy
innovative imaginative
mandatory compulsory
warmly cordially
ground grounding
enemies foes
centred concentrated
besieging besiege
objectives goals
crevices fissures
hashim hashem
despotic autocratic
yassir yasser
meanwhile meantime
occasional sporadic
arrange organize
reside resides
bewildered confused
fun amusing
networks grids
finishing finish
finishing finishes
dearest dear
unique unparalleled
bans prohibition
ban prohibition
bans prohibitions
ban prohibitions
continually continuously
struggle battle
displayed display
displayed displays
channel canal
stratagem ploy
overthrow oust
avraham abraham
karl carl
wounds injures
mixed blended
shocked horrified
frankness candour
enable enables
doubtless undoubtedly
email emailed
unreal surreal
employ employing
reduce reducing
congested crowded
reckless foolhardy
deception cheating
guarding guard
cattle cows
surrogates alternatives
unfeasible impractical
salutary beneficial
floodlights headlamps
speciality specialization
terminating terminate
cooperation cooperating
finishes terminates
fingerprint fingerprinting
define defines
fingerprints fingerprinting
deficiency inadequacy
customer client
guo kuo
serious graves
serious grave
resulting resultant
nourishment nutrition
untiring indefatigable
significant noticeable
abhorrent loathsome
scottish scots
cordially warmly
maximize maximizing
toilettes toilets
abhorrent detestable
characters personages
same identical
recruiting recruitment
analysis analyse
supervision oversight
rugs carpets
carpentry woodworking
philanthropic charitable
fall slumps
persistent constant
solidify consolidate
tribute homage
simultaneous concurrent
ismail ismael
abnormally unnaturally
focuses emphasis
focus emphasis
responsible responsibility
shift changing
shift changes
shift change
chairperson chairwoman
creation establishment
dissemination disseminate
choose opt
rapidity swiftness
escalate escalated
extremely vitally
foreigners aliens
aware mindful
forefront vanguard
conflict dispute
unbelievable incredible
alexander aleksander
correct correcting
schedules timelines
multiple numerous
amnesty pardon
overpowering beating
hazards perils
indicted charged
checking verifying
currently presently
woodworking carpentry
assumption premise
monetary pecuniary
prints print
forbid ban
spotted stained
congrats congratulations
luck chances
locks locking
lock locking
rally rallying
righteousness rectitude
assiduous diligent
dirigible blimp
strenuously strongly
concurrent simultaneous
check verify
shortcomings demerits
bln billion
pistols handguns
facility installation
hajj haj
caring care
await awaiting
retains maintains
students pupils
applying apply
clarifying clarification
clarify clarification
retirees pensioners
aisles passageways
poitier poitiers
callous heartless
nucleus core
nuclei core
frugal thrifty
choosing choose
disbelief incredulity
closing finishing
trustworthy dependable
verify checks
verifies check
verify check
verifies checks
verified check
verified checks
extraordinarily terribly
racers runners
detestable abhorrent
findings results
fidelity faithfulness
duplicating duplication
pallet palette
insufficient inadequate
tumbling falling
ruthlessly brutally
insignificant trivial
child children
bidding tendering
aware mindful
pioneer trailblazer
transforms transform
engaging engage
shootout gunfight
defines define
looted ransacked
cuevas caves
kidnapped abducted
chats chatting
unstable unsteady
kimberly kimberley
chat chatting
friendly amicable
anesthesia anaesthetic
booklets brochures
bound link
bound linked
bound links
upkeep maintenance
harness harnessing
treachery perfidy
camilla camila
calculating calculate
predicament plight
vigilant watchful
hikes rises
hikes rise
relax relaxing
misdemeanour misdemeanors
presents displays
appointments appointment
despicable detestable
audit audits
beautify embellish
pope pontiff
synchronicity synchronization
organise organizing
yell shout
hassan hasan
shades hues
cars autos
indicted accused
motives motifs
answers responses
gone disappeared
went disappeared
circumference girth
involving involve
delicate subtle
allowed allow
gaddafi qaddafi
archive archived
whiskey whisky
alas unfortunately
risen gained
freeze frozen
undertaking undertake
subsurface underground
attacks attack
adapting adaptations
adapting adaptation
issues lawsuits
zeal eagerness
kilns furnaces
ruses stratagems
smart intelligent
weld welding
graduate graduating
repeated recurrent
favorable beneficial
allow enable
foundations basis
fernandez fernandes
swear swearing
remembrance recollection
emmanuel emanuel
famished starved
continued continual
prevalent pervasive
weirdly strangely
maximizing maximize
outcome results
outcome resulted
outcome result
rejected spurned
captors kidnappers
couches sofas
disappears goes
frugal economical
suffer suffers
climbs rise
climbs rises
indeterminate indefinite
adventures escapades
breaches contravene
breach contravene
vociferous vocal
gunfight firefight
manner way
sofas couches
doctor physician
nauseating disgusting
advise advises
allocate assign
flyers leaflets
cesar caesar
perfecting perfect
irrefutable incontestable
pitiless merciless
allows allow
slimy viscous
leniency indulgence
intense fierce
sleep slept
unsafe hazardous
intricacy complexity
aspect facet
crevices cracks
accelerate accelerating
roomie roommate
vials ampoules
special specialised
surreal unreal
heinous nefarious
incinerate burn
fruitless useless
reviewing review
delete deleted
domicile homes
excluded exclude
workouts exercises
nepalese nepali
dreaming dream
dreaming dreams
flaw defect
weird strange
incontestable irrefutable
g grams
ruthless cruel
underscore underline
laptop notebook
effectively efficiently
skill proficiency
skills proficiency
startling amazing
fake false
add adding
adds adding
resumed resume
resumed resumes
confusing bewildering
regrettable regretful
grotesque ludicrous
malformed deformed
sealant sealer
hurdles obstacles
preemptive preventative
warped distorted
graceful elegant
loudly aloud
grave tomb
inconsequential irrelevant
alarm alarming
eagerness zeal
host hosted
important significant
actively aggressively
wrong inappropriate
insulting offensive
larceny theft
burnt incinerated
sayed syed
easier simpler
compulsory mandatory
eradicating eradicate
divorce divorcing
bridge bridging
wording phrasing
trips voyages
trips voyage
forgo abandon
troublesome bothersome
earnestly ardently
landmine landmines
computing compute
lineaments outlines
enchanting charming
reaction responses
reactions response
reaction response
reactions responses
achieving achieve
credible dependable
reduction reducing
overseeing oversee
reduction downsizing
anaesthetic anesthesia
dictated imposed
nevertheless however
salary pays
salary pay
mohammed muhammed
influencing influences
influencing influence
marriage matrimony
reject repudiate
negligence negligent
untenable unsustainable
icy frigid
tracy tracey
expunged deleted
primordial primary
meets satisfies
pensioners retirees
tendering bidding
muhammad mohammed
dispute conflict
monkeys apes
harnessing harness
involved participating
redesigning redesign
panties underclothes
framing frame
displays presents
composed comprised
competitor contender
spurns rejects
protesting protest
total overall
emphasizing stressing
humanity mankind
abolish cancel
abolish cancelled
transfer transferred
transfers transferred
accordingly consequently
juveniles minors
abuses misused
abused misused
abuse misuse
abuse misused
abuses misuse
abused misuse
weaknesses drawbacks
enemy foe
magnificent terrific
morons idiots
serum sera
inherited hereditary
abolition deletion
regeneration regenerating
jannet jeanne
accumulation accretion
protest protesting
guide handbook
hobbled impeded
stimulates fosters
detain incarcerate
delightful terrific
indigent destitute
multiple several
select choose
unsupported unfounded
farewell goodbye
response responses
beginning outset
patchwork mosaic
barbarous barbarian
ambience atmosphere
channel canal
incredulity disbelief
leaflets flyers
swift expeditious
forsworn rejected
agitation unrest
injured wounds
overloading overload
stabbing stab
surges soars
teenagers adolescent
teenagers adolescents
especially particularly
yeah yes
loathe hate
graduate graduated
graduates graduated
rightfully justly
protect protects
disconnect disconnecting
auditions hearings
sacred hallowed
seriously conscientiously
looted ransacked
brilliant fantastic
condenser capacitor
try attempt
tracks rails
motifs motives
jodi jodie
souza sousa
regulating regulate
shift changes
shift change
insulation insulating
fraudulent deceptive
awful horrendous
subordinates underlings
extraordinary unusual
bracing preparing
envisage envision
choose select
funds resources
abducted kidnapped
priest clergyman
realization materialization
drain draining
useful helpful
ceilings limits
underlines stresses
charting mapping
combines merges
impossible impractical
hq headquarters
terrific delightful
beautifully marvellously
photos photographs
photos photograph
dismayed appalled
photo photograph
photo photographs
emancipate liberate
newly freshly
commencement start
melodies tunes
advanced risen
mum mom
loyalty faithfulness
designs designed
design designed
collaboration cooperation
selfish egoistic
disarming disarmament
assessment valuation
weariness fatigue
prompt expeditious
rebel insurgent
restructure restructuring
bankrolled funded
hottest sexiest
concrete specific
blonde blond
doorman janitor
appalled dismayed
miserable deplorable
handguns pistols
bylaws regulations
million mln
millions mln
rises climbs
rise climbs
biscuits cookies
authorise authorising
surprised astonished
surprises astonished
envisage envisaged
awesome terrific
mobilize mobilizing
inspect inspecting
remarkable wonderful
freeway superhighway
praised lauded
salvaging salvage
diligent industrious
appeasing calming
firefight gunfight
kidnappers captors
harmless inoffensive
adopt adopting
photo photograph
delicious scrumptious
upbringing rearing
reducing reductions
reducing reduction
persistent sustained
subhuman inhumane
metro subway
armistice truce
quell repress
brochures booklets
earphones headsets
compel compelling
plight predicament
dreadful horrifying
used utilised
burn incinerate
ruthless brutal
false fallacious
unspecified indeterminate
risen advanced
abilities capacity
hitherto heretofore
extract extracted
extracts extracted
helps aid
help aid
convert conversion
crashed collided
jubilation rejoicing
comprehensive thorough
dwellings houses
antenatal prenatal
enough sufficient
detestable loathsome
turbulence upheaval
recurrent repeated
renew renewing
easterly east
conservatory conservatoire
suspended suspend
change changing
anticipated anticipate
okay ok
inviting invites
inviting invite
installation facility
neighbour neighbouring
neighbours neighbouring
attentiveness attention
exemption exoneration
leyla leila
interview interviewed
incontrovertible compelling
disability incapacity
backwards retrograde
stratagems ruses
cherished treasured
seaboard coastline
favorable favourable
delicious tasty
discovers finds
heartless callous
candour candor
dampness moisture
interior inner
redundant superfluous
devastates devastate
bathroom toilet
bathroom toilets
rocket missile
misused abuses
misused abused
misuse abuse
misused abuse
misuse abuses
misuse abused
greatly vastly
ancillary complementary
tremendously vastly
inverse opposite
calming soothing
beleaguered besieged
judicious prudent
improperly wrongfully
awaited expected
precious invaluable
disks disc
disk discs
disk disc
disks discs
liability responsibilities
liability responsibility
indefinite undefined
accelerator throttle
gipsy gypsy
certificate certification
demerits shortcomings
print prints
trace tracing
temporary transitory
cancel annul
wounds injured
direct directing
result resulting
finishing closing
accomodation accommodation
accomodation accommodations
emphasised underlined
emphasise underlined
emphasise underline
emphasised underline
substantially vastly
avoid avoided
tireless indefatigable
eradicate eradication
recognizes recognize
trained qualified
leila laila
elementary elemental
consequently accordingly
criticizes criticize
canceling cancel
revengeful retaliatory
conversion convert
thiago tiago
construct constructing
missile rocket
pipe tube
ranking ranks
ranking rank
dismantling scrapping
rankings rank
adored loved
surge rise
muddled confused
initiating initiation
consecutive continuous
sayeed sayed
grim sombre
spine backbone
deform distort
fulfilling fulfil
use used
storing store
uses used
quietness tranquillity
specialties speciality
specialties specialities
specialty speciality
specialty specialities
akin similar
synchronization synchronicity
streamline streamlining
armament weaponry
egocentric egotistical
shortcomings gaps
joke joking
select selects
frequencies frequency
exposition exhibitions
exposition exhibition
significantly vastly
foraging forage
preferred favorite
profits gains
drills exercises
address addressing
addresses addressing
relaxed relax
mobilizing mobilization
councillors advisers
kilometre km
constant persistent
recognize recognising
inappropriate wrong
fade disappear
commended lauded
caesarean cesarean
damaging destructive
steady stable
ceremonies ceremony
frame framing
transferred transfer
maladies illnesses
worldwide globally
neighbourhood neighborhood
onshore inshore
soldering welding
views vistas
veterinary veterinarian
proposing propose
veterinary veterinarians
superfluous redundant
kidnaped kidnapped
renowned famed
disabilities handicaps
committing commit
reveal uncover
rehabilitate rehabilitating
lilian lillian
germs microbes
base based
deliberately willfully
caesar cesar
blending blend
dips drops
combining combine
autos cars
decline fall
hoisting hoist
aligning align
utilizing utilize
registers registering
predominantly principally
register registering
conservatoire conservatory
supplemental complementary
kilogram kg
troublesome difficult
shallow superficial
kid children
sombre grim
handicaps disabilities
bureaus offices
exonerate absolve
councils governments
stench stink
powerful influential
require requiring
surprised astonished
surprises astonished
crowded congested
condemn condemning
major principal
suppress stifle
countenance tolerate
relaxation loosening
block obstruct
praised lauded
gathered collected
examining investigate
examine investigate
unflinching unshakeable
maladies diseases
sunscreen sunblock
loathsome detestable
brutally ruthlessly
humankind humanity
doubtless surely
sexiest hottest
firstly first
stupidity folly
edifying enlightening
big huge
relaxing relax
cyclical cyclic
worrying disturbing
perils hazards
lauded commend
lauded commended
doves pigeons
ventilating venting
pace tempo
sizeable significant
voter elector
permitting permit
establishment creation
barriers hurdles
permitting permits
passageways aisles
intolerable insufferable
affectionate loving
rescuing saving
crib cribbing
satisfied gratified
enrich enriching
protecting protective
decrease reduce
falsely wrongfully
adherents followers
distrustful suspicious
withdrawn withdraw
mesdames ladies
accelerating accelerate
cruel ruthless
decrease reduce
exceptional unusual
apparent visible
moveable mobile
assign assigned
gowns robes
afflict affect
unclear ambiguous
characteristic trait
characteristics trait
reyna reina
husbandry farming
uphold upholding
bounds limits
think thought
swindling cheating
certification certificate
immediate instant
operating operate
frankness candor
flat apartment
kidnappings abduction
kidnapping abduction
kidnapping abductions
hazardous perilous
billing invoices
horrendous gruesome
evaluate evaluating
targets objectives
target objective
target objectives
targets objective
favourable favorable
curb restrain
breath respiration
gently softly
eliminate delete
closing close
closing closer
syed sayed
capping ceiling
gamble gambling
presented present
retaliatory revengeful
tolerable permissible
chatting chats
chatting chat
sentiments feelings
pragmatic realistic
involvement engagement
objectives targets
soars surges
area sphere
areas sphere
preventative prophylactic
councillor advisor
sloping slope
modified amended
fundamentally inherently
changing change
brave courageous
staffers officials
protection protective
bin ibn
heinous loathsome
devastate devastates
strongly emphatically
pigeons doves
tubing piping
available accessible
creation introduction
resolves solves
climatic climactic
adviser councillors
advisers councillors
inactive dormant
rationalization rationalizing
thawing melting
postpones delays
truncheon baton
mounting mounts
mounting mount
apes monkeys
granary breadbasket
maintains retains
estimates estimation
estimate estimation
commitment pledge
uninterrupted continued
apply applying
robes gowns
enemies foes
foes enemies
alleluia hallelujah
clarification clarify
relentless implacable
curbs limits
piping tubing
stats statistics
complex sophisticated
suppose presume
drawbacks weaknesses
reduce decrease
illuminating instructive
certainly doubtless
infighting strife
responses answers
boobs tits
slept sleep
crimes offenses
emphasise underscore
unquestioned uncontested
opportunity opportunities
preventive prophylactic
oven kiln
defect deficiency
integrated integral
different disparate
mounts mounting
azzam azam
mount mounting
internal inner
wounds injures
graduating graduate
interact communicate
dad papa
specifically concretely
info informations
info information
spending expenditure
authoritarian dictatorial
split divides
split divide
splits divide
splits divides
okay alright
mosaic patchwork
antagonistic hostile
annex annexe
transition changeover
replacing replace
utilization usage
stained spotted
protect safeguard
destructive damaging
raised hiked
specify specifies
inadequacy deficiency
aleksandr aleksander
timeline timetable
grids networks
deportation eviction
odours smells
identify identified
improper inadequate
swimsuit swimwear
ruined wrecked
terrence terence
pursued pursue
orientated focussed
orientated focused
forthwith immediately
appointment appointments
melo mello
unclean impure
continuous consecutive
qualified trained
flashes blinks
rafael raphael
domains realms
practical concrete
effective efficacious
boosting strengthening
moslem muslim
strengthening boosting
plaything toy
changed modified
reducing reduce
allows allow
affected afflicted
overall total
underline underscore
keepers custodians
pees pisses
viewers spectators
sophisticated complex
savagery brutality
faultless perfect
auditions hearing
auditions hearings
supervising supervision
swiftness rapidity
purportedly ostensibly
instability destabilization
granddad grandfather
fantastic brilliant
physical bodily
terrific awesome
enhance enhancing
redirect redirecting
eliminate elimination
eliminated elimination
eliminating elimination
numerous multiple
debating debate
cautiously warily
overheat overheating
unannounced unexpected
extinguish douse
assassinate kill
pioneering innovative
traveller travelers
traveller traveler
travellers traveler
travellers travelers
patronage favouritism
nikki nicky
realistic pragmatic
curious odd
retirees pensioners
ascension ascent
detestable despicable
schoolroom classroom
asked requested
employing employ
dyke dike
partnership partnering
organize arrange
route path
advice guidance
focus concentrate
fury anger
sink sinking
weigh weight
fantastic great
shortcoming weakness
rok korea
orbiting orbital
expel expulsion
responsibility responsible
enable allow
final definitive
fishhooks hooks
inhabitants dwellers
donated donate
swiftness promptness
ability abilities
timelines schedules
revise revised
ceiling capping
mohamed muhammad
simultaneous concurrent
pisses pees
overheating overheat
papa dad
neighbor neighbouring
download upload
fortuitous accidental
simpler easier
extremists ultras
interference intervention
limit constrain
limiting constrain
organizing organize
mainly principally
splendid excellent
silly stupid
justly rightfully
yearning yearn
drilling drill
poultry fowls
aboriginal aborigines
aboriginals aborigines
finished finish
interpreting interpret
finished finishes
offenses crimes
knapsack rucksack
katharine katherine
campsite campground
ready poised
womanhood femininity
forerunner predecessor
aware cognizant
objective goal
reports reporting
report reporting
injurious noxious
wallets pocketbooks
directing direct
worldwide global
raise increase
promptness swiftness
released emitted
mandatory obligatory
disputing dispute
beats defeats
reintegrate reintegration
twofold double
circumscribed restricted
fragments shards
officials servants
resigned resign
choose select
wrecked ruined
hatred hate
reynaldo reinaldo
smells scent
smell scent
varies fluctuates
revised revise
outcome results
reduce reduction
reduce reductions
envisaged envisage
irregularly illegally
mistakenly wrongfully
comforting soothing
shaded shady
dike dyke
increase raise
recognising acknowledging
climbs rises
climbs rise
overthrow toppling
wins triumphs
dwellers inhabitants
brochures flyers
peres perez
catalonia catalonian
transform transforms
chaired chair
promoted promotion
promote promotion
packet package
closure shutdown
extent magnitude
spending spend
combustible flammable
recreation recreational
ampoules vials
persevering perseverance
resound resonate
competitions rivalries
someplace somewhere
relax relaxed
megabytes mb
amended modified
detention detainment
pincers pliers
forged counterfeit
hellish infernal
tilt tilting
illnesses diseases
illnesses disease
illness diseases
illness disease
voyage travels
egotistical egocentric
souvenirs mementos
voyages travels
heard audition
terminates finishes
ruinous destructive
unselfish altruistic
enlarged enlarge
posters placards
concentrated centred
segregated isolated
unable impossible
punch punching
remarkable outstanding
destitute indigent
fumes vapours
demonstrate demonstrates
prohibiting banning
deductible allowable
mindful aware
financial finance
tartars tatars
honors honour
tartar tatar
honor honour
tartar tatars
tartars tatar
streamline simplify
pirate pirating
fulfil perform
raised hiked
purpose aim
sulfide sulphide
traits features
compilation compiling
guide handbook
closest tightest
loathed hated
measurements measures
characters traits
leap jump
resolve resolving
joined join
joined joins
chancery chancellery
goodbye farewell
fuelling fuel
risky hazardous
realised realized
learn learnt
musa moussa
prohibition prohibited
gandhi ghandi
vague unclear
craziness madness
focused focus
compliance conformity
aid helps
aid help
movable mobile
persistently insistently
arrive arrives
principally predominantly
issue problem
next upcoming
due owing
completely totally
succeeds succeed
trickiest hardest
path route
vacant vacancy
claimant applicant
comprehend understand
prenatal antenatal
